# Appendix 4 to 'Meta-analysis of chromosome-scale crossover rate variation in eukaryotes
# and its significance to evolutionary genomics' by Haenel, Laurentino, Roesti & Berner
# 
# This file lists physical map length (in megabases, Mb), genetic (or linkage) map length 
# (in centimorgan, cM), and crossover rate (genetic divided by physical map length, cM/Mb)
# for each chromosome in 52 total species. These data represent the input for all analyses
# presented in Figure 5. The 'Kingdom' column specifies the affiliation of each species to 
# animals, plants, or fungi. The chromosome names follow those used in the source publications
# (the references and other details are provided in Table 1). Note that physical map lengths
# generally slightly underestimate the values in the source publications because for 
# consistency across data sets, physical chromosome lengths were defined by the midpoint of the
# last marker interval, not by the position of the terminal marker.

Species	Kingdom	Chromosome	Physical.map.length.Mb	Genetic.map.length.cM	Crossover.rate
Triticum.aestivum	Plants	6B	204.22	263.31	1.29
Triticum.aestivum	Plants	7A	180.87	383.28	2.12
Triticum.aestivum	Plants	7B	251.54	287.06	1.14
Cervus.elaphus	Animals	1	82.68	85.95	1.04
Cervus.elaphus	Animals	2	50.18	54.58	1.09
Cervus.elaphus	Animals	3	57.70	62.11	1.08
Cervus.elaphus	Animals	4	65.04	79.21	1.22
Cervus.elaphus	Animals	5	137.91	125.23	0.91
Cervus.elaphus	Animals	6	52.58	58.19	1.11
Cervus.elaphus	Animals	7	51.59	63.15	1.22
Cervus.elaphus	Animals	8	57.74	60.53	1.05
Cervus.elaphus	Animals	9	111.71	106.66	0.95
Cervus.elaphus	Animals	10	42.69	54.15	1.27
Cervus.elaphus	Animals	11	106.84	96.93	0.91
Cervus.elaphus	Animals	12	101.72	101.98	1.00
Cervus.elaphus	Animals	13	68.57	72.14	1.05
Cervus.elaphus	Animals	14	81.37	83.77	1.03
Cervus.elaphus	Animals	15	91.48	86.23	0.94
Cervus.elaphus	Animals	16	42.92	51.10	1.19
Cervus.elaphus	Animals	17	67.70	65.16	0.96
Cervus.elaphus	Animals	18	120.26	105.89	0.88
Cervus.elaphus	Animals	19	101.72	96.21	0.95
Cervus.elaphus	Animals	20	116.90	108.30	0.93
Cervus.elaphus	Animals	21	83.91	82.15	0.98
Cervus.elaphus	Animals	22	61.81	62.66	1.01
Cervus.elaphus	Animals	23	82.54	92.63	1.12
Cervus.elaphus	Animals	24	60.84	66.78	1.10
Cervus.elaphus	Animals	25	69.38	70.87	1.02
Cervus.elaphus	Animals	26	39.05	50.58	1.30
Cervus.elaphus	Animals	27	62.52	59.25	0.95
Cervus.elaphus	Animals	28	62.83	61.92	0.99
Cervus.elaphus	Animals	29	65.09	62.78	0.96
Cervus.elaphus	Animals	30	85.75	84.23	0.98
Cervus.elaphus	Animals	31	57.63	57.79	1.00
Cervus.elaphus	Animals	32	46.61	55.86	1.20
Cervus.elaphus	Animals	33	80.33	78.58	0.98
Cicer.arietinum	Plants	LG2	36.47	71.98	1.97
Cicer.arietinum	Plants	LG3	39.45	71.04	1.80
Cicer.arietinum	Plants	LG4	48.76	86.95	1.78
Cicer.arietinum	Plants	LG6	58.61	101.55	1.73
Mimulus.guttatus	Plants	chr2	14.56	90.60	6.22
Mimulus.guttatus	Plants	chr5	11.20	86.06	7.69
Mimulus.guttatus	Plants	chr11	11.46	59.26	5.17
Mimulus.guttatus	Plants	chr12	11.56	87.16	7.54
Ovis.aries	Animals	chr25	271.18	316.57	1.17
Ovis.aries	Animals	chr26	249.47	289.29	1.16
Ovis.aries	Animals	chr23	224.39	272.16	1.21
Ovis.aries	Animals	chr24	119.55	152.46	1.28
Ovis.aries	Animals	chr21	106.02	144.83	1.37
Ovis.aries	Animals	chr22	116.90	144.02	1.23
Ovis.aries	Animals	chr19	100.00	138.92	1.39
Ovis.aries	Animals	chr20	90.58	117.50	1.30
Ovis.aries	Animals	chr17	95.57	121.13	1.27
Ovis.aries	Animals	chr18	86.90	109.74	1.26
Ovis.aries	Animals	chr15	61.63	105.04	1.70
Ovis.aries	Animals	chr16	78.18	116.45	1.49
Ovis.aries	Animals	chr13	81.98	117.22	1.43
Ovis.aries	Animals	chr14	62.59	104.40	1.67
Ovis.aries	Animals	chr11	80.70	104.85	1.30
Ovis.aries	Animals	chr12	71.59	95.25	1.33
Ovis.aries	Animals	chr9	70.73	103.49	1.46
Ovis.aries	Animals	chr10	68.45	102.06	1.49
Ovis.aries	Animals	chr7	59.32	91.35	1.54
Ovis.aries	Animals	chr8	50.33	81.77	1.62
Ovis.aries	Animals	chr5	50.11	77.99	1.56
Ovis.aries	Animals	chr6	50.36	78.17	1.55
Ovis.aries	Animals	chr3	61.52	90.75	1.48
Ovis.aries	Animals	chr4	42.42	77.83	1.83
Ovis.aries	Animals	chr1	45.05	72.79	1.62
Ovis.aries	Animals	chr2	43.98	68.00	1.55
Heliconius.melpomene	Animals	3	10.56	54.16	5.13
Heliconius.melpomene	Animals	2	9.04	51.43	5.69
Heliconius.melpomene	Animals	1	17.19	54.84	3.19
Heliconius.melpomene	Animals	6	14.01	47.95	3.42
Heliconius.melpomene	Animals	9	8.71	46.50	5.34
Heliconius.melpomene	Animals	5	9.95	51.23	5.15
Heliconius.melpomene	Animals	8	9.32	49.27	5.29
Heliconius.melpomene	Animals	4	9.61	48.40	5.04
Heliconius.melpomene	Animals	7	14.30	53.58	3.75
Heliconius.melpomene	Animals	12	16.29	51.20	3.14
Heliconius.melpomene	Animals	15	10.24	49.21	4.81
Heliconius.melpomene	Animals	11	11.77	52.67	4.47
Heliconius.melpomene	Animals	14	9.23	50.38	5.46
Heliconius.melpomene	Animals	10	17.91	56.51	3.16
Heliconius.melpomene	Animals	13	18.09	55.81	3.08
Heliconius.melpomene	Animals	18	16.77	52.98	3.16
Heliconius.melpomene	Animals	17	14.75	58.36	3.96
Heliconius.melpomene	Animals	20	14.87	51.33	3.45
Heliconius.melpomene	Animals	16	10.05	47.57	4.73
Heliconius.melpomene	Animals	19	16.36	50.94	3.11
Fragaria.vesca	Plants	LG1	19.18	90.00	4.69
Fragaria.vesca	Plants	LG2	27.74	71.80	2.59
Fragaria.vesca	Plants	LG3	23.44	45.20	1.93
Fragaria.vesca	Plants	LG4	19.68	60.40	3.07
Fragaria.vesca	Plants	LG5	26.09	73.00	2.80
Fragaria.vesca	Plants	LG6	33.51	90.00	2.69
Fragaria.vesca	Plants	LG7	21.28	77.10	3.62
Ficedula.albicollis	Animals	Chr1	119.00	245.24	2.06
Ficedula.albicollis	Animals	Chr1A	75.13	205.30	2.73
Ficedula.albicollis	Animals	Chr2	158.56	316.73	2.00
Ficedula.albicollis	Animals	Chr3	116.59	226.66	1.94
Ficedula.albicollis	Animals	Chr4	72.18	166.39	2.31
Ficedula.albicollis	Animals	Chr4A	21.20	81.06	3.82
Ficedula.albicollis	Animals	Chr5	64.89	172.25	2.65
Ficedula.albicollis	Animals	Chr6	36.75	121.27	3.30
Ficedula.albicollis	Animals	Chr7	39.03	123.52	3.16
Ficedula.albicollis	Animals	Chr8	32.16	96.07	2.99
Ficedula.albicollis	Animals	Chr9	26.83	96.94	3.61
Ficedula.albicollis	Animals	Chr10	21.24	94.09	4.43
Ficedula.albicollis	Animals	Chr11	21.43	80.89	3.78
Ficedula.albicollis	Animals	Chr12	21.81	85.53	3.92
Ficedula.albicollis	Animals	Chr13	17.97	86.08	4.79
Ficedula.albicollis	Animals	Chr14	17.17	87.08	5.07
Ficedula.albicollis	Animals	Chr15	14.72	59.53	4.04
Ficedula.albicollis	Animals	Chr17	12.40	73.96	5.96
Ficedula.albicollis	Animals	Chr18	13.10	79.44	6.06
Ficedula.albicollis	Animals	Chr19	11.83	57.81	4.89
Ficedula.albicollis	Animals	Chr20	15.40	53.17	3.45
Ficedula.albicollis	Animals	Chr21	8.24	47.98	5.82
Ficedula.albicollis	Animals	Chr22	5.42	53.30	9.84
Ficedula.albicollis	Animals	Chr23	7.86	48.77	6.21
Ficedula.albicollis	Animals	Chr24	7.75	50.64	6.54
Ficedula.albicollis	Animals	Chr25	2.90	49.28	17.01
Ficedula.albicollis	Animals	Chr26	7.65	45.56	5.95
Ficedula.albicollis	Animals	Chr27	6.08	74.86	12.30
Ficedula.albicollis	Animals	Chr28	5.73	49.25	8.60
Ficedula.albicollis	Animals	LGE22	2.28	53.05	23.29
Theobroma.cacao	Plants	LG1	29.35	93.77	3.20
Theobroma.cacao	Plants	LG2	26.40	96.76	3.67
Theobroma.cacao	Plants	LG3	24.99	76.48	3.06
Theobroma.cacao	Plants	LG4	22.44	61.59	2.74
Theobroma.cacao	Plants	LG5	25.06	77.41	3.09
Theobroma.cacao	Plants	LG6	14.62	59.19	4.05
Theobroma.cacao	Plants	LG7	13.68	52.50	3.84
Theobroma.cacao	Plants	LG8	10.93	58.86	5.39
Theobroma.cacao	Plants	LG9	27.56	100.28	3.64
Theobroma.cacao	Plants	LG10	14.73	59.14	4.02
Citrus.clementina	Plants	Chr1	28.89	127.93	4.43
Citrus.clementina	Plants	Chr2	36.35	162.86	4.48
Citrus.clementina	Plants	Chr3	50.89	183.86	3.61
Citrus.clementina	Plants	Chr4	25.20	86.29	3.42
Citrus.clementina	Plants	Chr5	43.68	112.52	2.58
Citrus.clementina	Plants	Chr6	25.69	91.89	3.58
Citrus.clementina	Plants	Chr7	21.02	116.32	5.53
Citrus.clementina	Plants	Chr8	24.94	108.09	4.33
Citrus.clementina	Plants	Chr9	29.89	81.49	2.73
Setaria.italica	Plants	Chr1	42.14	217.63	5.16
Setaria.italica	Plants	Chr2	49.54	242.19	4.89
Setaria.italica	Plants	Chr3	47.51	237.19	4.99
Setaria.italica	Plants	Chr4	40.01	160.30	4.01
Setaria.italica	Plants	Chr5	48.22	232.63	4.82
Setaria.italica	Plants	Chr6	37.20	142.53	3.83
Setaria.italica	Plants	Chr7	35.79	173.23	4.84
Setaria.italica	Plants	Chr8	43.25	148.75	3.44
Setaria.italica	Plants	Chr9	54.52	303.81	5.57
Prunus.persica	Plants	Pp1	46.59	146.09	3.14
Prunus.persica	Plants	Pp2	26.30	86.04	3.27
Prunus.persica	Plants	Pp3	21.47	71.21	3.32
Prunus.persica	Plants	Pp4	29.86	74.43	2.49
Prunus.persica	Plants	Pp5	11.35	27.45	2.42
Prunus.persica	Plants	Pp6	28.44	89.73	3.16
Prunus.persica	Plants	Pp7	20.77	62.88	3.03
Prunus.persica	Plants	Pp8	20.41	65.16	3.19
Saccharomycetes.cerevisiae	Fungi	1	0.18	107.22	593.69
Saccharomycetes.cerevisiae	Fungi	2	0.78	235.95	302.93
Saccharomycetes.cerevisiae	Fungi	3	0.28	141.86	506.50
Saccharomycetes.cerevisiae	Fungi	4	1.42	464.49	327.30
Saccharomycetes.cerevisiae	Fungi	5	0.51	197.81	385.39
Saccharomycetes.cerevisiae	Fungi	6	0.20	125.09	630.97
Saccharomycetes.cerevisiae	Fungi	7	1.06	393.22	370.48
Saccharomycetes.cerevisiae	Fungi	8	0.38	167.97	444.99
Saccharomycetes.cerevisiae	Fungi	9	0.38	192.94	507.06
Saccharomycetes.cerevisiae	Fungi	10	0.65	217.35	334.66
Saccharomycetes.cerevisiae	Fungi	11	0.61	241.44	393.51
Saccharomycetes.cerevisiae	Fungi	12	1.04	376.60	362.49
Saccharomycetes.cerevisiae	Fungi	13	0.85	312.69	367.27
Saccharomycetes.cerevisiae	Fungi	14	0.71	280.77	395.91
Saccharomycetes.cerevisiae	Fungi	15	0.95	353.76	370.61
Saccharomycetes.cerevisiae	Fungi	16	0.82	262.59	319.58
Bos.taurus	Animals	chr1	160.49	171.51	1.07
Bos.taurus	Animals	chr2	138.43	148.42	1.07
Bos.taurus	Animals	chr3	126.19	144.06	1.14
Bos.taurus	Animals	chr4	123.05	135.36	1.10
Bos.taurus	Animals	chr5	124.88	124.38	1.00
Bos.taurus	Animals	chr6	121.56	138.24	1.14
Bos.taurus	Animals	chr7	111.48	128.61	1.15
Bos.taurus	Animals	chr8	111.48	128.61	1.15
Bos.taurus	Animals	chr9	107.32	110.94	1.03
Bos.taurus	Animals	chr10	103.53	118.30	1.14
Bos.taurus	Animals	chr11	109.58	130.23	1.19
Bos.taurus	Animals	chr12	84.44	120.00	1.42
Bos.taurus	Animals	chr13	84.06	120.78	1.44
Bos.taurus	Animals	chr14	81.69	131.82	1.61
Bos.taurus	Animals	chr15	80.45	103.32	1.28
Bos.taurus	Animals	chr16	77.89	112.70	1.45
Bos.taurus	Animals	chr17	75.21	99.65	1.32
Bos.taurus	Animals	chr18	65.66	102.12	1.56
Bos.taurus	Animals	chr19	63.59	100.00	1.57
Bos.taurus	Animals	chr20	73.61	75.76	1.03
Bos.taurus	Animals	chr21	66.44	87.44	1.32
Bos.taurus	Animals	chr22	60.16	87.68	1.46
Bos.taurus	Animals	chr23	53.16	92.42	1.74
Bos.taurus	Animals	chr24	64.39	87.45	1.36
Bos.taurus	Animals	chr25	42.72	63.09	1.48
Bos.taurus	Animals	chr26	51.36	72.42	1.41
Bos.taurus	Animals	chr27	45.45	57.83	1.27
Bos.taurus	Animals	chr28	45.06	57.60	1.28
Bos.taurus	Animals	chr29	51.74	67.46	1.30
Laupala.kohalensis.x.paranigra	Animals	LG1	135.70	168.64	1.24
Laupala.kohalensis.x.paranigra	Animals	LG2	115.02	207.27	1.80
Laupala.kohalensis.x.paranigra	Animals	LG3	98.96	167.18	1.69
Laupala.kohalensis.x.paranigra	Animals	LG4	88.41	100.09	1.13
Laupala.kohalensis.x.paranigra	Animals	LG5	58.72	90.84	1.55
Laupala.kohalensis.x.paranigra	Animals	LG6	51.54	80.31	1.56
Laupala.kohalensis.x.paranigra	Animals	LG7	24.91	85.66	3.44
Malus.pumila	Plants	chr1	32.70	64.72	1.98
Malus.pumila	Plants	chr2	37.76	79.55	2.11
Malus.pumila	Plants	chr3	38.19	75.51	1.98
Malus.pumila	Plants	chr4	31.86	63.02	1.98
Malus.pumila	Plants	chr5	48.31	79.11	1.64
Malus.pumila	Plants	chr6	37.76	77.12	2.04
Malus.pumila	Plants	chr7	37.00	84.29	2.28
Malus.pumila	Plants	chr8	31.47	69.79	2.22
Malus.pumila	Plants	chr9	38.34	67.86	1.77
Malus.pumila	Plants	chr10	41.83	82.14	1.96
Malus.pumila	Plants	chr11	43.35	82.14	1.89
Malus.pumila	Plants	chr12	33.18	66.23	2.00
Malus.pumila	Plants	chr13	44.62	72.14	1.62
Malus.pumila	Plants	chr14	32.70	64.51	1.97
Malus.pumila	Plants	chr15	49.10	102.91	2.10
Malus.pumila	Plants	chr16	40.72	67.66	1.66
Malus.pumila	Plants	chr17	34.79	73.54	2.11
Beta.vulgaris	Plants	chr1	33.41	93.29	2.79
Beta.vulgaris	Plants	chr2	35.74	87.27	2.44
Beta.vulgaris	Plants	chr3	26.48	107.96	4.08
Beta.vulgaris	Plants	chr4	26.55	108.53	4.09
Beta.vulgaris	Plants	chr5	48.88	101.67	2.08
Beta.vulgaris	Plants	chr6	54.43	101.59	1.87
Beta.vulgaris	Plants	chr7	43.06	101.87	2.37
Beta.vulgaris	Plants	chr8	36.04	92.57	2.57
Beta.vulgaris	Plants	chr9	42.71	91.31	2.14
Daphnia.magna	Animals	LG1	13.51	205.43	15.20
Daphnia.magna	Animals	LG2	15.94	177.95	11.17
Daphnia.magna	Animals	LG3	10.18	175.15	17.21
Daphnia.magna	Animals	LG4	9.80	171.32	17.48
Daphnia.magna	Animals	LG5	8.74	167.44	19.15
Daphnia.magna	Animals	LG6	9.04	166.54	18.42
Daphnia.magna	Animals	LG7	9.18	140.80	15.34
Daphnia.magna	Animals	LG8	9.43	140.31	14.88
Daphnia.magna	Animals	LG9	7.43	139.53	18.79
Daphnia.magna	Animals	LG10	7.19	131.26	18.25
Capsicum.annuum	Plants	chr2	164.26	93.07	0.57
Capsicum.annuum	Plants	chr3	240.73	143.45	0.60
Capsicum.annuum	Plants	chr4	205.93	131.61	0.64
Capsicum.annuum	Plants	chr5	223.96	84.33	0.38
Capsicum.annuum	Plants	chr6	218.18	120.11	0.55
Capsicum.annuum	Plants	chr7	226.42	107.46	0.47
Capsicum.annuum	Plants	chr9	247.72	97.82	0.39
Capsicum.annuum	Plants	chr10	227.36	88.34	0.39
Capsicum.annuum	Plants	chr11	244.00	90.00	0.37
Capsicum.annuum	Plants	chr12	233.82	96.11	0.41
Brassica.rapa	Plants	A01	28.67	102.35	3.57
Brassica.rapa	Plants	A02	27.78	103.19	3.72
Brassica.rapa	Plants	A03	31.87	78.54	2.46
Brassica.rapa	Plants	A04	18.79	33.08	1.76
Brassica.rapa	Plants	A05	23.90	122.62	5.13
Brassica.rapa	Plants	A06	25.99	183.52	7.06
Brassica.rapa	Plants	A07	22.36	62.96	2.82
Brassica.rapa	Plants	A08	21.48	113.76	5.30
Brassica.rapa	Plants	A09	37.08	120.11	3.24
Brassica.rapa	Plants	A10	17.60	301.88	17.16
Colossoma.macropomum	Animals	LG1	270.18	70.98	0.26
Colossoma.macropomum	Animals	LG2	362.34	145.54	0.40
Colossoma.macropomum	Animals	LG3	301.64	110.00	0.36
Colossoma.macropomum	Animals	LG4	288.33	83.07	0.29
Colossoma.macropomum	Animals	LG5	244.33	105.96	0.43
Colossoma.macropomum	Animals	LG6	317.61	110.29	0.35
Colossoma.macropomum	Animals	LG7	243.10	97.82	0.40
Colossoma.macropomum	Animals	LG8	329.05	124.96	0.38
Colossoma.macropomum	Animals	LG9	362.74	122.11	0.34
Colossoma.macropomum	Animals	LG10	332.95	124.68	0.37
Colossoma.macropomum	Animals	LG11	210.57	93.41	0.44
Colossoma.macropomum	Animals	LG12	316.33	102.20	0.32
Colossoma.macropomum	Animals	LG13	262.07	113.68	0.43
Colossoma.macropomum	Animals	LG14	86.26	71.94	0.83
Colossoma.macropomum	Animals	LG15	274.80	96.13	0.35
Colossoma.macropomum	Animals	LG16	280.06	101.08	0.36
Colossoma.macropomum	Animals	LG17	238.65	117.84	0.49
Colossoma.macropomum	Animals	LG18	361.87	89.06	0.25
Colossoma.macropomum	Animals	LG19	305.24	119.06	0.39
Colossoma.macropomum	Animals	LG20	258.65	114.31	0.44
Colossoma.macropomum	Animals	LG21	233.77	78.03	0.33
Colossoma.macropomum	Animals	LG22	271.80	127.42	0.47
Colossoma.macropomum	Animals	LG23	238.42	95.02	0.40
Colossoma.macropomum	Animals	LG24	270.29	91.67	0.34
Colossoma.macropomum	Animals	LG25	120.45	70.86	0.59
Colossoma.macropomum	Animals	LG26	193.82	99.78	0.51
Colossoma.macropomum	Animals	LG27	226.39	130.00	0.57
Bactrocera.cucurbitae	Animals	chr2	58.68	126.27	2.15
Bactrocera.cucurbitae	Animals	chr3	52.95	96.75	1.83
Bactrocera.cucurbitae	Animals	chr4	47.37	140.30	2.96
Bactrocera.cucurbitae	Animals	chr5	38.68	149.54	3.87
Bactrocera.cucurbitae	Animals	chr6	38.96	128.06	3.29
Populus.deltoides	Plants	chr01	50.40	507.06	10.06
Populus.deltoides	Plants	chr02	25.20	329.18	13.06
Populus.deltoides	Plants	chr03	21.73	258.81	11.91
Populus.deltoides	Plants	chr04	23.41	227.65	9.73
Populus.deltoides	Plants	chr05	25.80	240.26	9.31
Populus.deltoides	Plants	chr06	27.77	355.52	12.80
Populus.deltoides	Plants	chr07	15.19	160.00	10.53
Populus.deltoides	Plants	chr08	18.84	216.00	11.46
Populus.deltoides	Plants	chr09	12.80	205.06	16.02
Populus.deltoides	Plants	chr10	22.55	222.22	9.85
Populus.deltoides	Plants	chr11	18.52	185.23	10.00
Populus.deltoides	Plants	chr12	15.54	159.38	10.26
Populus.deltoides	Plants	chr13	15.66	200.26	12.79
Populus.deltoides	Plants	chr14	18.17	224.79	12.37
Populus.deltoides	Plants	chr15	15.04	152.23	10.12
Populus.deltoides	Plants	chr16	13.86	115.20	8.31
Populus.deltoides	Plants	chr17	15.42	127.08	8.24
Populus.deltoides	Plants	chr18	16.63	122.19	7.35
Populus.deltoides	Plants	chr19	15.87	122.17	7.70
Populus.simonii	Plants	chr01	50.39	469.39	9.31
Populus.simonii	Plants	chr02	24.80	272.87	11.00
Populus.simonii	Plants	chr03	21.46	227.77	10.62
Populus.simonii	Plants	chr04	23.32	173.43	7.44
Populus.simonii	Plants	chr05	25.40	261.36	10.29
Populus.simonii	Plants	chr06	27.43	293.69	10.71
Populus.simonii	Plants	chr07	15.44	161.00	10.43
Populus.simonii	Plants	chr08	17.80	222.26	12.48
Populus.simonii	Plants	chr09	12.68	171.76	13.54
Populus.simonii	Plants	chr10	22.55	242.28	10.74
Populus.simonii	Plants	chr11	17.20	138.21	8.04
Populus.simonii	Plants	chr12	14.76	133.72	9.06
Populus.simonii	Plants	chr13	15.56	153.59	9.87
Populus.simonii	Plants	chr14	13.34	159.10	11.93
Populus.simonii	Plants	chr15	14.96	151.86	10.15
Populus.simonii	Plants	chr16	14.35	91.77	6.39
Populus.simonii	Plants	chr17	15.95	135.44	8.49
Populus.simonii	Plants	chr18	16.27	164.30	10.10
Populus.simonii	Plants	chr19	15.91	130.54	8.21
Gossypium.hirsutum	Plants	A01	98.60	176.56	1.79
Gossypium.hirsutum	Plants	A02	82.90	122.17	1.47
Gossypium.hirsutum	Plants	A03	100.47	146.18	1.45
Gossypium.hirsutum	Plants	A04	62.94	116.85	1.86
Gossypium.hirsutum	Plants	A05	92.06	215.54	2.34
Gossypium.hirsutum	Plants	A06	103.18	153.89	1.49
Gossypium.hirsutum	Plants	A07	77.41	151.34	1.96
Gossypium.hirsutum	Plants	A08	103.93	172.03	1.66
Gossypium.hirsutum	Plants	A09	74.87	154.84	2.07
Gossypium.hirsutum	Plants	A10	100.37	165.19	1.65
Gossypium.hirsutum	Plants	A11	92.52	203.35	2.20
Gossypium.hirsutum	Plants	A12	86.89	159.49	1.84
Gossypium.hirsutum	Plants	A13	79.63	157.95	1.98
Gossypium.hirsutum	Plants	D01	59.56	114.50	1.92
Gossypium.hirsutum	Plants	D02	66.49	129.30	1.94
Gossypium.hirsutum	Plants	D03	46.54	128.41	2.76
Gossypium.hirsutum	Plants	D04	50.00	108.54	2.17
Gossypium.hirsutum	Plants	D05	61.33	208.66	3.40
Gossypium.hirsutum	Plants	D06	63.26	144.23	2.28
Gossypium.hirsutum	Plants	D07	54.19	146.06	2.70
Gossypium.hirsutum	Plants	D08	66.13	138.54	2.09
Gossypium.hirsutum	Plants	D09	51.15	158.98	3.11
Gossypium.hirsutum	Plants	D10	63.87	155.95	2.44
Gossypium.hirsutum	Plants	D11	65.83	176.56	2.68
Gossypium.hirsutum	Plants	D12	59.44	175.41	2.95
Gossypium.hirsutum	Plants	D13	60.28	152.87	2.54
